name,street,from_street,to_street,work_type,deadline,source_url,notes
,Абая,проспект Достык,Розыбакиева,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Бухар Жырау,Жарокова,Байтурсынова,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Жандосова,река Большая Алматинка,Байзакова,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026); западный конец — река (не улица): если геокодер не находит точку — замените from_street на ближайшую улицу
,Жарокова,Аль-Фараби,Толе би,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Жолдасбекова,проспект Достык,Назарбаева,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Майлина,Ахметова,Бухтарминская,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Масанчи,Сатпаева,Толе би,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Мендикулова,Кажымукана,Жолдасбекова,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Мусрепова,Тимирязева,Абая,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Розыбакиева,Аль-Фараби,Толе би,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Сатпаева,Луганского,Байзакова,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Сейфуллина,Алдар Косе,Толе би,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
,Тимирязева,Жандосова,Байтурсынова,благоустройство,,https://bes.media/news/tsentr-almati-nakroet-pilyu-iz-za-remonta-ulits-v-2026-godu-interaktivnaya-karta/,план благоустройства 2026 «от фасада до фасада»; сроки по участкам акимат не опубликовал (bes.media 09.05.2026)
